"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"pig","goat","dog","bird","cat","cow","owl","wolf","ape","fish","starfish","chicken","ox","snake","lizard","bat","","","","","","","","","","","","","","","","","","",""
"duck","cow","chicken","kangaroo","parrot","platypus","echidna","wallaby","camel","elephant","giraffe","emu","ostrich","toad","lizard","iguana","penguin","albatross","puffin","mouse","","","","","","","","","","","","","","",""
"dog","cat","cow","monkey","donkey","giraffe","armadillo","panda","dolphin","shark","whale","seal","lion","tiger","chicken","goat","horse","rabbit","squirrel","hedgehog","","","","","","","","","","","","","","",""
"dog","cat","zebra","lion","duck","cow","sheep","pig","moose","mouse","tiger","bear","camel","lama","fish","whale","shark","dolphin","lobster","deer","bunny","fox","","","","","","","","","","","","",""
"dog","cat","bird","elephant","giraffe","pig","monkey","zebra","tiger","bear","lion","lizard","rabbit","squirrel","rat","","","","","","","","","","","","","","","","","","","",""
"crow","cat","dog","lizard","crocodile","alligator","giraffe","fish","flamingo","elephant","lion","parrot","macaw","ferret","mouse","rat","snake","zebra","horse","","","","","","","","","","","","","","","",""
"elephant","dog","cat","llama","rabbit","squirrel","moose","elk","deer","weasel","rat","giraffe","lion","tiger","bear","oh my","bird","","","","","","","","","","","","","","","","","",""
"elephant","mouse","dog","cat","lion","cheetah","rhino","frog","seal","penguin","snake","monkey","turtle","dolphin","jaguar","horse","pig","chicken","cow","","","","","","","","","","","","","","","",""
"dog","cat","mouse","horse","raccoon","squirrel","elephant","monkey ape","shark","whale","fish","lizard","dinosaur","bird","alligator","koala","spider","rhino","hippo","ant","fly","ferret","","","","","","","","","","","","",""
"cat","dog","giraffe","elephant","bird","cow","bull","horse","pony","sheep","zebra","antelope","rabbit","hare","elephant","monkey","","","","","","","","","","","","","","","","","","",""
"tiger","bear","lion","penguin","seagull","dog","cat","goat","ram","bull","bison","rhino","elephant","deer","skunk","squirrel","beetle","ladybug","bee","ant","whale","dolphin","fish","sea urchin","starfish","crab","oyster","","","","","","","",""
"cat","dog","bird","tiger","lion","bear","racoon","squirrel","hamster","owl","pigeon","hummingbird","lemur","gorilla","deer","swan","duck","salamander","whale","hippo","elephant","monkey","","","","","","","","","","","","",""
"giraffe","zebra","lion","dog","cat","octopus","rabbit","snake","owl","bird","goat","llama","alpaca","sheep","cow","pig","sloth","monkey","","","","","","","","","","","","","","","","",""
"cat","dog","rat","cat","pig","elephant","zebra","lizard","snake","ox","leech","","","","","","","","","","","","","","","","","","","","","","","",""
"elephant","cow","pig","bird","penguin","giraffe","hippo","horse","lion","tiger","bear","dog","cat","hamster","donkey","zebra","","","","","","","","","","","","","","","","","","",""
"elephant","tardigrade","mouse","snake","dog","cat","daphnia","lion","bear","amoebae","raven","crow","","","","","","","","","","","","","","","","","","","","","","",""
"dog","car","cow","duck","horse","chicken","zebra","cheetah","lion","bird","deer","pig","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","hamster","mouse","rat","kangaroo","monkey","snake","lizard","gorilla","deer","fly","bat","horse","kangaroo","bird","bat","lobster","crab","shark","whale","dolphin","","","","","","","","","","","","",""
"sting ray","cat","dog","horse","snail","snake","cow","pig","chicken","cheetah","elephant","lion","monkey","gorilla","parrot","bear","mountain lion","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","cougar","pigeon","duck","otter","platypus","rhino","seal","zebra","hippo","jackal","mouse","mouse*","squirrel","deer","fox","tiger","alligator","crocodile","wildebeest","","","","","","","","","","","","",""
"dog","cat","giraffe","hippo","tiger","lion","horse","donkey","pelican","alligator","dolphin","shark","octopus","whale","seagull","eagle","falcon","salamander","gecko","","","","","","","","","","","","","","","",""
"frog","dog","cat","cow","horse","fish","chicken","donkey","turtle","mouse","rat","bird","zebra","elephant","hedgehog","bear","turkey","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","chimpanzee","rhino","hippo","monkey","dog","cat","elephant","leopard","serval","coyote","panda","robin","cheetah","penguin","boar","bat","rat","mouse","possum","raccoon","echidna","bilby","bush baby","","","","","","","","",""
"cat","dog","mouse","bear","bird","beaver","rat","frog","lizard","goat","sheep","lion","tiger","raccoon","octopus","clown fish","rhino","rabbit","cat","walrus","spider","duck","","","","","","","","","","","","",""
"zebra","lion","elephant","dolphin","dog","cat","giraffe","ant-eater","pelican","penguin","ant","beetle","butterfly","ostrich","tiger","bear","spider","pig","horse","","","","","","","","","","","","","","","",""
"cat","dog","lemur","meerkat","boar","cow","buffalo","python","hen","rooster","sheep","ape","frog","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","giraffe","fish","bunny","bird","shark","elephant","lion","cheetah","leopard","ferret","hamster","gerbil","snake","horse","pig","goat","llama","","","","","","","","","","","","","","","",""
"hippo","tiger","lion","cat","dog","mouse","bird","fish","giraffe","panda","bear","otter","wolf","horse","duck","chicken","rabbit","","","","","","","","","","","","","","","","","",""
"horse cat dog pig goat fish deer duck swan goose bird eagle giraffe lion hippo","hippo","dog","cat","giraffe","fish","clown fish","deer","elephant","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","deer","monkey","frog","lion","tiger","bear","bird","wolf","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","rabbit","zebra","mouse","bear","snake","fish","lizard","raccoon","lion","tiger","gorilla","monkey","gorilla","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","seal","lion","tiger","bear","monkey","zebra","butterfly","gorilla","snake","lizard","kangaroo","fish","shark","bat","","","","","","","","","","","","","","","","","",""
"lion","seal","monkey","gorilla","monkey","bird","cat","dog","zebra","toucan","tiger","bear","fish","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","squirrel","cow","bird","pig","monkey","giraffe","elephant","lion","tiger","bear","penguin","seagull","bat","frog","lizard","","","","","","","","","","","","","","","","","",""
"monkey","bird","dog","cat","elephant","tiger","lion","giraffe","pelican","seal","shark","starfish","turtle","frog","penguin","owl","eagle","bat","","","","","","","","","","","","","","","","",""
"cat","dog","elephant","horse","cow","sheep","goat","moose","deer","giraffe","buck","doe","","","","","","","","","","","","","","","","","","","","","","",""
"tiger","lion","bear","koala","dog","cat","bird","snake","crocodile","alligator","penguin","monkey","gorilla","jaguar","cougar","panther","zebra","giraffe","","","","","","","","","","","","","","","","",""
"monkey","cow","lion","deer","squirrel","chipmunk","rhino","elephant","giraffe","moose","zebra","","","","","","","","","","","","","","","","","","","","","","","",""
"koala","giraffe","dog","cat","cow","fish","turtle","bear","panda","lion","deer","chimp","bird","turkey","goat","horse","sheep","snake","elephant","","","","","","","","","","","","","","","",""
"horse","turkey","chicken","kangaroo","lion","giraffe","dog","cat","mouse","guinea pig","fish","cow","donkey","bird","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","bird","fish","hamster","rabbit","iguana","ferret","gorilla","fox","giraffe","panda","zebra","dolphin","lizard","platypus","emu","","","","","","","","","","","","","","","","","",""
"cat","dog","zebra","horse","mule","lion","tiger","bear","bird","fish","frog","crocodile","iguana","bobcat","panther","monkey","ape","chimpanzee","gorilla","","","","","","","","","","","","","","","",""
"dog","cat","horse","pig","mouse","cow","pig","goat","bird","owl","alligator","shark","frog","fish","horse","donkey","hamster","guinea big","rabbit","crocodile","camel","elephant","hippo","","","","","","","","","","","",""
"cat","dog","bird","snake","fish","tiger","lion","bear","elephant","pig","horse","rhino","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","sheep","goat","giraffe","elephant","pig","cow","horse","chicken","kangaroo","parakeet","walrus","tiger","lion","penguin","bear","deer","unicorn","fish","shark","sting ray","jelly fish","","","","","","","","","","",""
"dog","cat","duck","tiger","lion","rat","mouse","otter","fish","shark","monkey","bird","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rooster","pig","lizard","horse","rat","lion","cow","","","","","","","","","","","","","","","","","","","","","","","","",""
"cheetah","horse","lion","zebra","cat","dog","horse","chinchilla","tiger","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monkey","cat","dog","rat","bear","snake","racoon","mouse","lizard","goose","pig]","fox","wolf","cougar","cheetah","lion","frog","duck","","","","","","","","","","","","","","","","",""
"giraffe","elephant","tiger","bear","monkey","fox","dog","cat","cheetah","jaguar","snake","spider","chinchilla","mongoose","blue jay","robin","horse\","pig","donkey","mule","cow","sheep","","","","","","","","","","","","",""
"bird","elephant","zebra","hippo","dolphin","whale","fish","cat","dog","ostrich","rhino","seagull","hamster","porcupine","lionfish","","","","","","","","","","","","","","","","","","","",""
"dog","cat","elephant","zebra","lion","cougar","bear","gray wolf","fox","red wolf","coyote","salmon","swordfish","blue whale","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","beaver","fish","deer","horse","mouse","lamb","donkey","turtle","snake","monkey","frog","spider","caterpillar","","","","","","","","","","","","","","","","","","","",""
"fox","cat","dog","pig","fly","ant","elephant","giraffe","cow","lizard","bird","squirrel","rat","mouse","bunny","turtle","rhino","monkey","gorilla","platypus","","","","","","","","","","","","","","",""
"dog","cat","zebra","elephant","llama","monkey","mouse","pug","hamster","emu","lion","giraffe","manatee","whale","robin","chickadee","lizard","gecko","rhino","hippo","dolphin","squirrel","elk","deer","","","","","","","","","","",""
"giraffe","dog","cat","bird","lizard","elephant","pug","cow","squirrel","tiger","lion","monkey","zebra","duck","goose","horse","","","","","","","","","","","","","","","","","","",""
"dog","cat","monkey","zebra","panda","giraffe","elephant","pangolin","mountain hyrax","shrimp","clown fish","lion fish","lion","tiger","bear","leopard","rabbit","","","","","","","","","","","","","","","","","",""
"bear","bear","cat","mouse","dog","snake","eagle","hawk","horse","deer","racoon","ostrich","lion","tiger","zebra","liger","donkey","","","","","","","","","","","","","","","","","",""
"bear","car","dog","rabbit","giraffe","dinosaur","turtle","dolphin","whale","leopard","wolf","did i say bear already?","horse","pig","cow","chicken","donkey","mule","snake","mouse","rat","gerbil","armadillo","hyena","rhino","eagle","","","","","","","","",""
"panda","lion","bear","dog","cat","fish","tiger","monkey","ferret","bird","rat","mouse","","","","","","","","","","","","","","","","","","","","","","",""
"dolphin monkey bear dog cat fish penguin","monkey","dog","cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bat","rat","tiger","lion","snake","leopard","puma","mouse","ant","beaver","horse","zebra","rhino","hippo","eagle","robin","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fox","dog","cat","bird","lizard","elephant","pig","tuna","fish","panda","monkey","cricket","leopard","lion","tiger","snake","spider","","","","","","","","","","","","","","","","","",""
"cat","dog","elephant","panda","bear","tiger","lion","snail","sloth","mammoth","ant","bee","spider","hamster","rabbit","snake","lizard","turtle","","","","","","","","","","","","","","","","",""
"fox cat dog bird lion bear tiger lizard penguin monkey panda kangaroo","cat","dog","lion","tiger","bird","monkey","panda","lizard","rat","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","wolf","mouse","goose","mouse","gorilla","monkey","human","rat","weasel","otter","beaver","monkey","ape","panda","grizzly bear","bear","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","tiger","lemur","otter","fish","monkey","whale","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cat dog fish elephant tiger zebra monkey giraffe lion dolphin wale roster squirrel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","horse","monkey","bunny","rabbit","snake","squirrel","bird","zebra","elephant","groundhog","gorilla","horse","jaguar","lion","","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","monkey","zebra","orangutan","horse","giraffe","lion","tiger","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","deer","penguin","rat","mouse","elephant","gorilla","monkey","zebra","alligator","bird","lizard","snake","turtle","tortoise","terrapin","crocodile","platypus","fish","gerbil","hamster","","","","","","","","","","","","",""
"dolphin","cow","dinosaur","cat","dog","seal","shark","narwhal","penguin","chicken","","","","","","","","","","","","","","","","","","","","","","","","",""
"deer","cat","elephant","dog","hamster","raccoon","bunny","bird","fish","shark","whale","eel","starfish","pelican","flamingo","zebra","lion","tiger","horse","goat","","","","","","","","","","","","","","",""
"zebra","giraffe","elephant","iguana","cat","dog","snake","bird","rat","mouse","salamander","turtle","elk","deer","bear","panda","monkey","gorilla","fish","","","","","","","","","","","","","","","",""
"wolf","deer","coyote","cat","dog","sheep","kangaroo","polar bear","otter","goat","frog","snake","lion","jaguar","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","goose","lamb","duck","sheep","elephant","skunk","rooster","tiger","giraffe","fish","shark","dolphin","porpoise","turtle","kangaroo","lemur","monkey","gorilla","catfish","","","","","","","","","","","","","",""
"bird","dog","cat","ferret","chinchilla","elephant","zebra","giraffe","snake","fish","platypus","octopus","whale","cheetah","llama","horse","","","","","","","","","","","","","","","","","","",""
"panda","koala","bear","polar bear","dog","cat","mouse","bird","giraffe","elephant","lion","tiger","leopard","turtle","frog","fish","dolphin","shark","snail","gerbil","hamster","raccoon","snake","rat","hen","chicken","cow","goat","","","","","","",""
"dog","cat","elephant","bird","giraffe","hippo","rhino","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","kangaroo","penguin","zebra","duck","bird","fish","horse","frog","","","","","","","","","","","","","","","","","","","","","","","","",""
"turtle catdog elephant fish bird squirrel rabbit fox deer monkey giraffe","cat","dog","fish","monkey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cat dog tiger otter turtle lion cougar panther rabbit","giraffe","lion","bear","bobcat\","frog","cheetah","snake","anteater","panda","eagle","rhino","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","deer","rat","mouse","turtle","monkey","rabbit","fish","shark","hamster","elephant","tiger","lion","bear","alligator","eel","octopus","","","","","","","","","","","","","","","",""
"giraffe","lion","elephant","deer","dog","cat","snake","bird","tiger","polar bear","grizzly bear","fox","","","","","","","","","","","","","","","","","","","","","","",""
"duck","goose","deer","dog","cat","squirrel","zebra","elephant","bird","mouse","rat","bear","tiger","lion","fish","whale","alligator","frog","toad","","","","","","","","","","","","","","","",""
"dog","cat","giraffe","frog","cow","horse","mule","donkey","coyote","monkey","chimpanzee","bird","crow","turtle","dolphin","fish","shark","grasshopper","ant","ant eater","bee","hornet","yellow jacket","","","","","","","","","","","",""
"goat","cat","dog","llama","salmon","vulture","goose","squirrel","lion","phoenix","tiger","bear","elephant","giraffe","zebra","donkey","alpaca","","","","","","","","","","","","","","","","","",""
"monkey","giraffe","tiger","lion","cat","dog","hamster","leopard","chimp","gorilla","snake","rat","mouse","kitten","puppy","ant","beetle","cockroach","praying manti","","","","","","","","","","","","","","","",""
"cat","dog","horse","mouse","lion","bird","seal","ostrich","pig","duck","cow","chicken","goose","bat","cheetah","rat","","","","","","","","","","","","","","","","","","",""
"cat","dog","gorilla","monkey","bird","goldfish","mouse","guinea pig","horse","parrot","wale","sea horse","star fish","seagull","crocodile","shark","","","","","","","","","","","","","","","","","","",""
"giraffe","elephant","monkey","goose","cow","cat","dog","bird","hamster","bunny","chinchilla","ferret","moose","deer","llama","alpaca","mongoose","snake","kangaroo","koala","fish","","","","","","","","","","","","","",""
"cow","dog","lion","bear","cat","monkey","armadillo","ant-eater","panda","frog","chicken","pig","unicorn","horse","zebra","giraffe","penguin","crocodile","alligator","pig","","","","","","","","","","","","","","",""
"cat","dog","lion","giraffe","panda","guinea pig","horse","cow","bird","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cow","pig","elephant","lion","seal","walrus","tiger","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"zebra","cow","horse","bird","pig","frog","dog","cat","monkey","snake","elephant","deer","goat","rooster","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","tiger","lion","bear","sheep","cow","zebra","cougar","deer","bird","fish","pig","horse","","","","","","","","","","","","","","","","","","","",""
"dog","cat","horse","bunny","goat","cow","lion","tiger","bear","chicken","snake","beetle","ladybug","butterfly","elephant","zebra","octopus","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","rat","chipmunk","walrus","dog","cat","hamster","bird","guinea pig","elephant","armadillo","octopus","ferret","","","","","","","","","","","","","","","","","","","",""
"pig","dog","cat","bird","tiger","lion","sheep","horse","mouse","duck","bird","monkey","girrafe","whale","turtle","lizard","bear","wolf","","","","","","","","","","","","","","","","",""
"cat","dog","fish","lion","tiger","frog","fish","turtle","zebra","hippo","bird","snake","spider","hamster","ra5t","rat","mouse","","","","","","","","","","","","","","","","","",""
"cat","dog","monkey","gorilla","giraffe","baboon","snake","rat","mouse","bear","lion","tiger","elephant","pig","boar","swan","bird","alligator","crocodile","","","","","","","","","","","","","","","",""
"dog","cat","fish","bird","mouse","rat","tiger","lion","monkey","pig","cow","horse","goat","chicken","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","hamster","mouse","fish","bird","lion","tiger","leopard","gorilla","gorilla","chimpanzee","polar bear","bear","deer","opossum","ant","","","","","","","","","","","","","","","","","",""
"elephant","leopard","dog","cheetah","lion","sheep","bunny","rabbit","squirrel","horse","chicken","hen","frog","snake","cat","bird","fish","crab","shrimp","gorilla","","","","","","","","","","","","","","",""
"lion","tiger","bear","lizard","giraffe","snake","dog","cat","llama","horse","pig","bird","sheepwolf","donkey","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","kangaroo","sheep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","goose","pig","elephant","eel","fish","snake","lion","tiger","bear","cheetah","jaguar","","","","","","","","","","","","","","","","","","","","","",""
"lion","cheetah","bear","cat","dog","pig","frog","snake","frog","horse","gorilla","whale","fish","dolphin","shark","pigeon","hare","rabbit","squirrel","","","","","","","","","","","","","","","",""
"wolf","owl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gazelle","deer","dog","cat","mouse","lion","panther","jaguar","panda","ape","monkey","baboon","human","mountain lion","cougar","bird","turtle","tortoise","bear","polar bear","","","","","","","","","","","","","","",""
"dog","cat","worm","spider","mammoth","elephant","horse","snake","wolf","tiger","lion","giraffe","gorilla dog","dog","ape","chimpanzee","gazelle","","","","","","","","","","","","","","","","","",""
"dog","cat","alligator","bird","snake","frog","llama","flamingo","giraffe","elephant","crow","lizard","bunny","squirrel","","","","","","","","","","","","","","","","","","","","",""
"elephant","dog","cat","mouse","horse","pony","fish","turtle","parrot","beaver","dolphin","whale","shark","","","","","","","","","","","","","","","","","","","","","",""
"zebra","cat","dog","mouse","elephant","monkey","snake","rat","bunny","rabbit","bird","skunk","dolphin","pig","horse","sheep","cow","bull","flamingo","giraffe","","","","","","","","","","","","","","",""
"dog","cat","tiger","bird","lion","bear","wolf","kitten","fox","whale","","","","","","","","","","","","","","","","","","","","","","","","",""
"cheetah","leopard","frog","zebra","giraffe","goat","lamb","pig","camel","horse","turtle","cat","dog","chicken","goose","bird","panda","","","","","","","","","","","","","","","","","",""
"aardvark","ant","bird","bear","cat","cheetah","dog","deer","duck","elephant","fish","giraffe","horse","","","","","","","","","","","","","","","","","","","","","",""
"elephant","rabbit","frog","cheetah","dog","cat","fish","bear","whale","dolphin","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","fish","monkey","ape","deer","lion","seal","wolverine","panther","horse","sheep","goat","frog","chicken","cow","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","lion","tiger","elephant","leopard","rhino","bird","rat","caterpillar","squirrel","monkey","gorilla","lima","emu","dodo","koala","dingo","kangaroo","wildebeest","springbok","","","","","","","","","","","","",""
"pig","dog","cat","mouse","horse","alligator","giraffe","panda","flamingo","bull","fish","turtle","duck","gorilla","monkey","platypus","rat","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","elephant""","sheep","horse","goat","tiger","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","horse","elephant","rat","cow","pig","chicken","whale","shark","fish","jelly fish","star fish","camel","donkey","","","","","","","","","","","","","","","","","","","",""
"giraffe elephant alligator bat tiger gorilla","leopard","monkey","hawk","kangaroo","lion","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","giraffe","elephant","turtle","fish","shark","octopus","bird","ant","spider","snake","sloth","ferret","sheep","cow","","","","","","","","","","","","","","","","","",""
"dog","cat","pig","snail","horse","lion","tiger","snake","zebra","giraffe","squirrel","lizard","rat","hippo","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","horse","mouse","fish","frog","lizard","sheep","cow","pig","duck","goose","snake","rabbit","deer","moose","","","","","","","","","","","","","","","","","","",""
"dog","cat","bear","frog","horse","chicken","cow","bird","lion","tiger","snake","lizard","whale","shark","fish","koala","panda","","","","","","","","","","","","","","","","","",""
"elephant","dog","cat","mouse","bird","pelican","frog","snake","rabbit","rat","iguana","guinea pig","hamster","fish","octopus","shark","","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","cat","rabbit","frog","pig","horse","cattle","sheep","cow","fish","shark","dolphin","bird","lion","hamster","gerbil","pig","lamb","chicken","turkey","","","","","","","","","","","","",""
"dog","cat","lion","cheetah","bird","penguin","tiger","bear","polar bear","flamingo","chicken","hen","pig","cow","sheep","","","","","","","","","","","","","","","","","","","",""
"dog cat horse guinea pig rooster bird fish mouse rat owl","dog","cat","horse","mouse","shark","whale","tiger","lion","","","","","","","","","","","","","","","","","","","","","","","","","",""
"horse","dog","cat","bear","frog","cow","turtle","hippo","giraffe","lizard","alligator","bird","parrot","monkey","ape","walrus","","","","","","","","","","","","","","","","","","",""
"chicken","lion","tiger","cat","dog","jesus","tiger","bird","liam","mole","pig","rat","mouse","horse","pigeon","snake","turtle","","","","","","","","","","","","","","","","","",""
"pig","fish","cat","dog","crab","horse","elephant","lion","seal","bird","monkey","chicken","cow","bull","donkey","ferret","hamster","lizard","","","","","","","","","","","","","","","","",""
"tiger","bear","monkey","lion","seagull","shark","octopus","shrimp","worm","human","deer","bird","leopard","cheetah","kangaroo","","","","","","","","","","","","","","","","","","","",""
"zebra","rat","mouse","cat","dog","giraffe","panda","bear","seagull","pigeon","leapord","tiger","lizard","snake","frog","dolphin","shark","pig","chicken","cow","deer","","","","","","","","","","","","","",""
"pig","dog","cat","horse","lion","tiger","monkey","sloth","hamster","rabbit","sloth","chicken","rooster","guinea pig","llama","rat","","","","","","","","","","","","","","","","","","",""
"cat","cat","dog","mouse","horse","fish","elephant","bug","monkey","cow","pig","bird","rhino","tiger","zebra","bull","","","","","","","","","","","","","","","","","","",""
"duck","duck","cat","dog","pig","chicken","turkey","spider","frog","turtle","lizard","bird","penguin","sheep","swan","fish","sea horse","","","","","","","","","","","","","","","","","",""
"cat","dog","monkey","giraffe","hippo","cow","sheep","lamb","bull","lemur","bird","hamster","guinea pig","owl","rabbit","","","","","","","","","","","","","","","","","","","",""
"panda","penguin","dog","cat","shark","lion","whale","jellyfish","snake","squirrel","lizard","hippo","turtle","seahorse","snail","","","","","","","","","","","","","","","","","","","",""
"horse","peacock","chicken","dog","cat","bird","lemur","pig","fish","cow","","","","","","","","","","","","","","","","","","","","","","","","",""
"rat","deer","dog","cat","rabbit","goat","fish","monkey","zebra","elephant","hamster","dinosaur","hyena","giraffe","rhino","lizard","snake","spider","turtle","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rat","salamander","chameleon","jaguar","lion","python","rabbit","elephant","dingo","hyena","giraffe","ox","buffalo","","","","","","","","","","","","","","","","","","",""
"cat","dog","hamster","gerbil","rabbit","horse","monkey","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tiger","bear","duck","cat","dog","bird","monkey","lion","cheetah","whale","dolphin","penguin","lizard","","","","","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","pigeon","bird","eagle","turtle","snake","lizard","polar bear","penguin","elephant","zebra","squirrel","panda bear","giraffe","monkey","leper","deer","wolf","coyote","","","","","","","","","","","","","",""
"dog","cat","mouse","horse","gorilla","lion","fish","monkey","dolphin","butterfly","mouse","snake","squirrel","turtle","bird","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rabbit","pig","cow","horse","donkey","camel","bear","lion","tiger","monkey","racoon","possum","squirrel","snake","gecko","zebra","polar bear","bird","dinosaur","","","","","","","","","","","","",""
"dog","cat","panda","sloth","bear","bird","unicorn","mermaid","octopus","fish","snake","sugar bear","worm","lady bug","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","horse","human","fish","frog","whale","shark","lion","money","zebra","alligator","flea","tick","elephant","","","","","","","","","","","","","","","","","","","",""
"dog\","cat","mouse","chicken","rooster","snail","squirrel","octopus","giraffe","monkey","lion","elephant","cow","dolphin","rat","snake","turtle","worm","","","","","","","","","","","","","","","","",""
"cow","moose","cheetah","lion","cat","dog","parrot","dove","raven","eagle","frog","salamander","snake","snail","python","buffalo","panther","tiger","giraffe","zebra","gorilla","","","","","","","","","","","","","",""
"bat cat dog sheep","cat","dog","sheep","lamb","llama","elephant","turtle","whale","raccoon","bird","quail","","","","","","","","","","","","","","","","","","","","","","",""
"giraffe","liger","tiger","bear","owl","bunny","gibbon","monkey","ape","orangutan","ram","sheep","goat","horse","cat","dog","alligator","frog","chimp","crocodile","elephant]","gazelle","","","","","","","","","","","","",""
"dog]","cat","bird","turtle","rabbit","elephant","panda bear","walrus","lion","tiger","","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","lizard","horse","bird","turtle","fish","eagle","snail","monkey","lion","tiger","bear","snake","elephant","cougar","lynx","bobcat","","","","","","","","","","","","","","","","",""
"elephant","cat","dog","bird","ape","monkey","parrot","mouse","bunny","snake","skunk","bear","deer","wolf","fox","squirrel","","","","","","","","","","","","","","","","","","",""
"dog","cat","chicken","pig","cat","cow","horse","elephant","zebra","goat","sheep","giraffe","llama","guinea pig","parrot","shark","dolphin","fish","frog","ostrich","","","","","","","","","","","","","","",""
"bird","zebra","giraffe","gorilla","duck","fish","cat","dog","hamster","lizard","horse","donkey","cow","pig","parrot","whale","dolphin","lion","ferret","rat","monkey","ape","","","","","","","","","","","","",""
"dog","cat","lemur","lion","squid","dinosaur","pegasus","phoenix","griffin","snake","ox","monkey","ape","bird","panda","","","","","","","","","","","","","","","","","","","",""
"cat","dog","giraffe","elephant","dolphin","tiger","lion","bear","bird","shark","ant","anteater","bee","wasp","spider","frog","ferret","","","","","","","","","","","","","","","","","",""
"dog","cat","sheep","cow","bird","wolf","tiger","turtle","snake","bear","sheep","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","tiger","bear","lion","zebra","elephant","leopard","giraffe","monkey","gorilla","","","","","","","","","","","","","","","","","","","","","","","",""
"bear","cat","dog","fish","koala","monkey","panda","zebra","horse","turkey","rabbit","hamster","gorilla","polar bear","bird","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rabbit","snake","horse","rat","whale","shark","bee","wasp","hornet","frog","turtle","giraffe\","elephant","jackass","","","","","","","","","","","","","","","","","",""
"lion","pig","horse","cat","dog","giraffe","tiger","hamster","gerbil","lizard","monkey","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","rabbit","cow","rat","mouse","hamster","moose","deer","guinea pig","pig","chicken","toad","frog","lizard","","","","","","","","","","","","","","","","","","","",""
"house","zebra","dog","cat","turtle","monkey","pig","cow","moose","mouse","puppy","spider","parrot","bird","eagle","frog","dolphin","fish","snake","bug","horse","rabbit","squirrel","giraffe","parakeet","","","","","","","","","",""
"dog","cat","horse","squid","elephant","ant","bug","spider","gorilla","monkey","lion","tiger","bear","penguin","dolphin","seahorse","wale","fish","hamster","guinea pig","pig","cow","","","","","","","","","","","","",""
